,sample,angle,aspect,total_cover,species,deviation_north,solar_radiation,elevation,moss_cover,lichen_cover,has_crustose,has_foliose,has_fruticose,has_W_f,has_GR_c,has_Bl_f,has_R_c,has_Bl_c,has_W_fr,has_O_c,has_W_c,has_Y_f,has_G_c,has_foliose_or_fruticose
0,4,-31,260,0.08,"['G_c', 'O_c', 'W_c', 'Bl_f']",100,1749116.0,1585.175,0.0024,0.0776,True,True,False,False,False,True,False,False,False,True,True,False,True,True
1,5,-6,298,0.03,"['Bl_f', 'W_c', 'G_c', 'O_c']",62,1702451.0,1586.237,0.0015,0.028499999999999998,True,True,False,False,False,True,False,False,False,True,True,False,True,True
2,6,-16,351,0.17,"['W_c', 'G_c']",9,1746397.0,1571.001,0.049300000000000004,0.1207,True,False,False,False,False,False,False,False,False,False,True,False,True,False
3,7,-12,129,0.01,"['W_c', 'O_c']",129,1626249.0,1570.66,0.0,0.01,True,False,False,False,False,False,False,False,False,True,True,False,False,False
4,8,-17,55,0.06,"['G_c', 'W_c', 'O_c']",55,1541382.0,1561.652,0.0066,0.053399999999999996,True,False,False,False,False,False,False,False,False,True,True,False,True,False
5,9,-17,321,0.48,"['O_c', 'W_c', 'G_c', 'W_f']",39,1588823.0,1372.652,0.0192,0.4608,True,True,False,True,False,False,False,False,False,True,True,False,True,True
6,10,-23,324,0.38,"['O_c', 'W_c', 'G_c', 'W_f', 'Bl_f']",36,1465921.0,1373.574,0.3382,0.041800000000000004,True,True,False,True,False,True,False,False,False,True,True,False,True,True
7,11,8,6,0.1,"['G_c', 'O_c', 'W_c', 'GR_c']",6,1562656.0,1372.404,0.0,0.1,True,False,False,False,True,False,False,False,False,True,True,False,True,False
8,12,-9,286,0.01,"['G_c', 'W_c']",74,1733553.0,1377.099,0.0,0.01,True,False,False,False,False,False,False,False,False,False,True,False,True,False
9,13,-10,12,0.39,"['W_c', 'W_fr', 'W_f', 'G_c', 'GR_c']",12,1659893.0,1377.04,0.03900000000000001,0.351,True,True,True,True,True,False,False,False,True,False,True,False,True,True
10,14,-3,16,0.43,"['W_fr', 'G_c', 'W_c', 'GR_c']",16,1597429.0,1389.609,0.0129,0.41709999999999997,True,False,True,False,True,False,False,False,True,False,True,False,True,True
11,15,-12,23,0.2,"['W_f', 'G_c', 'W_c']",23,1674168.0,1389.752,0.11399999999999999,0.08600000000000002,True,True,False,True,False,False,False,False,False,False,True,False,True,True
